"","Ship","Count","Vessel_Kts","distance","Behavior","Visibility","SeaState","Year","Kts_scaled"
"140","Ryndam",1,13.20480321,1186.891823,"BL-Blowing","excellent","calm",2008,-0.385357196933825
"141","Amsterdam",1,16.67235768,1188.518711,"BL-Blowing","excellent","2'",2008,0.622633350193703
"142","Statendam",1,12.96691577,1188.751489,"BL-Blowing","excellent","calm",2008,-0.454509186578091
"143","Statendam",1,19.80493797,1189.257257,"DF-Dive-fluke-up","excellent","1'",2008,1.53324956336541
"144","Amsterdam",1,7.178691472,1189.761995,"BL-Blowing","excellent","1'",2008,-2.13710002329474
"145","Statendam",1,13.73454233,1198.514751,"BL-Blowing","excellent","2'",2008,-0.231366241629912
"146","Statendam",1,12.82842554,1204.074758,"BL-Blowing","excellent","2'",2008,-0.494767196630206
"147","Statendam",1,16.39913904,1213.550713,"BL-Blowing","excellent","calm",2008,0.543210861289285
"148","Amsterdam",1,3.128441812,1284.790961,"DF-Dive-fluke-up","good","1'",2008,-3.31447543472887
"149","Amsterdam",1,12.48821455,1290.398094,"BL-Blowing","excellent","calm",2008,-0.593663829665331
"150","Statendam",1,13.45991654,1388.439645,"BL-Blowing","excellent","1'",2008,-0.311197777864562
"151","Amsterdam",2,9.172414998,1484.939264,"DF-Dive-fluke-up","excellent","3'",2008,-1.55754042727958
"152","Amsterdam",1,11.020062,1485.149759,"BL-Blowing","excellent","calm",2008,-1.0204441167364
"153","Amsterdam",1,17.80183389,1485.648192,"DF-Dive-fluke-up","excellent","1'",2008,0.950963114797351
"154","Amsterdam",2,9.730309486,1485.893322,"DF-Dive-fluke-up","excellent","1'",2008,-1.39536493009163
"155","Statendam",1,12.79760835,1486.711324,"SA-Surface-active","excellent","2'",2008,-0.503725509031001
"156","Ryndam",1,10.22780721,1487.134421,"BL-Blowing","excellent","1'",2008,-1.2507462925625
"157","Ryndam",1,14.31459466,1487.164839,"BL-Blowing","excellent","calm",2008,-0.062749635737259
"158","Statendam",1,13.53716615,1487.23034,"BL-Blowing","excellent","calm",2008,-0.28874192970905
"159","Statendam",2,16.98415444,1487.365447,"BL-Blowing","excellent","1'",2008,0.713270192217122
"160","Statendam",1,11.18956121,1488.605436,"BL-Blowing","excellent","1'",2008,-0.971172042453576
"161","Amsterdam",2,10.55955085,1489.149054,"BL-Blowing","excellent","2'",2008,-1.1543110509296
"162","Statendam",1,20.10730256,1489.532141,"BL-Blowing","excellent","4'",2008,1.62114454847463
"163","Statendam",1,15.06873918,1489.605462,"BL-Blowing","excellent","3'",2008,0.156474187249443
"164","Amsterdam",1,12.42720249,1490.029767,"BL-Blowing","excellent","1'",2008,-0.611399550985025
"165","Amsterdam",1,11.32969183,1491.282591,"BL-Blowing","excellent","calm",2008,-0.930437184055485
"166","Ryndam",1,6.048904659,1491.944311,"BL-Blowing","excellent","1'",2008,-2.46552007772386
"167","Amsterdam",1,13.18214625,1492.5691,"BL-Blowing","excellent","2'",2008,-0.391943395277422
"168","Amsterdam",1,12.82242313,1492.79135,"BL-Blowing","good","2'",2008,-0.496512049549556
"169","Statendam",1,16.19541076,1493.322213,"BL-Blowing","excellent","2'",2008,0.483988668184832
"170","Amsterdam",1,11.86298002,1493.937408,"BL-Blowing","good","1'",2008,-0.775414542287222
"171","Ryndam",1,9.416134095,1494.116936,"BL-Blowing","good","1'",2008,-1.48669322125705
"172","Statendam",1,9.786832746,1495.39092,"BL-Blowing","excellent","2'",2008,-1.3789340672845
"173","Amsterdam",1,11.11510929,1495.674893,"BL-Blowing","excellent","2'",2008,-0.992814624343717
"174","Ryndam",1,18.21552953,1498.817546,"DF-Dive-fluke-up","excellent","3'",2008,1.07122115201511
"175","Ryndam",2,19.38665019,1500.578302,"DF-Dive-fluke-up","excellent","1'",2008,1.41165662751775
